#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1094892,11256656,mg519,MegaChil _gp0519,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200629,-
1094892,11257429,mg1051,MegaChil _gp1051,-,-,-,-,putative Sel1-like repeat-containing protein,protein-coding,-,-,-,putative Sel1-like repeat-containing protein,20200629,-
1094892,11257430,mg970,MegaChil _gp0970,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257431,mg978,MegaChil _gp0978,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257432,mg849,MegaChil _gp0849,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257433,mg667,MegaChil _gp0667,-,-,-,-,thioredoxin-like protein,protein-coding,-,-,-,thioredoxin-like protein,20200629,-
1094892,11257434,mg610,MegaChil _gp0610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257435,mg268,MegaChil _gp0268,-,-,-,-,putative glutamine amidotransferase-like protein,protein-coding,-,-,-,putative glutamine amidotransferase-like protein,20200629,-
1094892,11257436,mg193,MegaChil _gp0193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257437,mg219,MegaChil _gp0219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257438,mg710,MegaChil _gp0710,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257439,mg390,MegaChil _gp0390,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257440,mg756,MegaChil _gp0756,-,-,-,-,cytochrome b5 domain-containing protein,protein-coding,-,-,-,cytochrome b5 domain-containing protein,20201220,-
1094892,11257441,mg381,MegaChil _gp0381,-,-,-,-,eukaryotic translation initiation factor 4e-like protein,protein-coding,-,-,-,eukaryotic translation initiation factor 4e-like protein,20200629,-
1094892,11257442,mg889,MegaChil _gp0889,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257443,mg1077,MegaChil _gp1077,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257444,mg266,MegaChil _gp0266,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257445,mg7,MegaChil _gp0007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257446,mg957,MegaChil _gp0957,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257447,mg285,MegaChil _gp0285,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257448,mg1085,MegaChil _gp1085,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11257449,mg936,MegaChil _gp0936,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257450,mg820,MegaChil _gp0820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257451,mg926,MegaChil _gp0926,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257452,mg896,MegaChil _gp0896,-,-,-,-,putative KilA-N domain-containing protein,protein-coding,-,-,-,putative KilA-N domain-containing protein,20200629,-
1094892,11257453,mg337,MegaChil _gp0337,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257454,mg44,MegaChil _gp0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257455,mg1016,MegaChil _gp1016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257456,mg816,MegaChil _gp0816,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257457,mg484,MegaChil _gp0484,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257458,mg1113,MegaChil _gp1113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257459,mg1086,MegaChil _gp1086,-,-,-,-,putative endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,putative endonuclease/exonuclease/phosphatase,20200629,-
1094892,11257460,mg121,MegaChil _gp0121,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257461,mg81,MegaChil _gp0081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257462,mg1098,MegaChil _gp1098,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257463,mg1034,MegaChil _gp1034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257464,mg1018,MegaChil _gp1018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257465,mg39,MegaChil _gp0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257466,mg36,MegaChil _gp0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257467,mg311,MegaChil _gp0311,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257468,mg748,MegaChil _gp0748,-,-,-,-,putative tyrosine-protein phosphatase,protein-coding,-,-,-,putative tyrosine-protein phosphatase,20200629,-
1094892,11257469,mg269,MegaChil _gp0269,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257470,mg112,MegaChil _gp0112,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257471,mg597,MegaChil _gp0597,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257472,mg828,MegaChil _gp0828,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257473,mg546,MegaChil _gp0546,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257474,mg163,MegaChil _gp0163,-,-,-,-,putative chaperon protein DnaJ,protein-coding,-,-,-,putative chaperon protein DnaJ,20200629,-
1094892,11257475,mg522,MegaChil _gp0522,-,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200629,-
1094892,11257476,mg670,MegaChil _gp0670,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257477,mg67,MegaChil _gp0067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257478,mg681,MegaChil _gp0681,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257479,mg93,MegaChil _gp0093,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257480,mg764,MegaChil _gp0764,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257481,mg577,MegaChil _gp0577,-,-,-,-,putative early transcription factor large subunit,protein-coding,-,-,-,putative early transcription factor large subunit,20200629,-
1094892,11257482,mg461,MegaChil _gp0461,-,-,-,-,putative 3'-5' exonuclease,protein-coding,-,-,-,putative 3'-5' exonuclease,20200629,-
1094892,11257483,mg495,MegaChil _gp0495,-,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200629,-
1094892,11257484,mg605,MegaChil _gp0605,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257485,mg64,MegaChil _gp0064,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257486,mg498,MegaChil _gp0498,-,-,-,-,putative replication factor C small subunit,protein-coding,-,-,-,putative replication factor C small subunit,20200629,-
1094892,11257487,mg472,MegaChil _gp0472,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257488,mg402,MegaChil _gp0402,-,-,-,-,deoxyribodipyrimidine photolyase,protein-coding,-,-,-,deoxyribodipyrimidine photolyase,20200629,-
1094892,11257489,mg194,MegaChil _gp0194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257490,mg789,MegaChil _gp0789,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257491,mg249,MegaChil _gp0249,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257492,mg799,MegaChil _gp0799,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257493,mg854,MegaChil _gp0854,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257494,mg52,MegaChil _gp0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257495,mg1010,MegaChil _gp1010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257496,mg968,MegaChil _gp0968,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257497,mg85,MegaChil _gp0085,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257498,mg493,MegaChil _gp0493,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11257499,mg846,MegaChil _gp0846,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257500,mg271,MegaChil _gp0271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257501,mg837,MegaChil _gp0837,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257502,trnW,MegaChil _gt0003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1094892,11257503,mg374,MegaChil _gp0374,-,-,-,-,putative intron encoded endonuclease,protein-coding,-,-,-,putative intron encoded endonuclease,20200629,-
1094892,11257504,mg1110,MegaChil _gp1110,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257505,mg1008,MegaChil _gp1008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257506,mg1057,MegaChil _gp1057,-,-,-,-,putative ariadne-like ring finger protein,protein-coding,-,-,-,putative ariadne-like ring finger protein,20200629,-
1094892,11257507,mg160,MegaChil _gp0160,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257508,mg486,MegaChil _gp0486,-,-,-,-,putative RNA methyltransferase,protein-coding,-,-,-,putative RNA methyltransferase,20200629,-
1094892,11257509,mg261,MegaChil _gp0261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257510,mg313,MegaChil _gp0313,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257511,mg509,MegaChil _gp0509,-,-,-,-,putative endonuclease of the xpg family,protein-coding,-,-,-,putative endonuclease of the xpg family,20200629,-
1094892,11257512,mg100,MegaChil _gp0100,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257513,mg870,MegaChil _gp0870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257514,mg691,MegaChil _gp0691,-,-,-,-,putative ATP-dependent DNA helicase,protein-coding,-,-,-,putative ATP-dependent DNA helicase,20200629,-
1094892,11257515,mg502,MegaChil _gp0502,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257516,mg556,MegaChil _gp0556,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257517,mg931,MegaChil _gp0931,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257518,mg859,MegaChil _gp0859,-,-,-,-,DNA topoisomerase 1b,protein-coding,-,-,-,DNA topoisomerase 1b,20200629,-
1094892,11257519,mg755,MegaChil _gp0755,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257520,mg704,MegaChil _gp0704,-,-,-,-,flotillin domain protein,protein-coding,-,-,-,flotillin domain protein,20200629,-
1094892,11257521,mg580,MegaChil _gp0580,-,-,-,-,putative myristoylated membrane protein,protein-coding,-,-,-,putative myristoylated membrane protein,20200629,-
1094892,11257522,mg660,MegaChil _gp0660,-,-,-,-,putative F-box/LRR-repeat protein,protein-coding,-,-,-,putative F-box/LRR-repeat protein,20200629,-
1094892,11257523,mg769,MegaChil _gp0769,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257524,mg11,MegaChil _gp0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257525,mg1055,MegaChil _gp1055,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257526,mg572,MegaChil _gp0572,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257527,mg488,MegaChil _gp0488,-,-,-,-,putative RNA methyltransferase,protein-coding,-,-,-,putative RNA methyltransferase,20200629,-
1094892,11257528,mg383,MegaChil _gp0383,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257529,mg471,MegaChil _gp0471,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257530,mg1053,MegaChil _gp1053,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257531,mg503,MegaChil _gp0503,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257532,mg1108,MegaChil _gp1108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257533,mg527,MegaChil _gp0527,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257534,mg1027,MegaChil _gp1027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257535,mg514,MegaChil _gp0514,-,-,-,-,putative leucine-rich repeat protein,protein-coding,-,-,-,putative leucine-rich repeat protein,20200629,-
1094892,11257536,mg501,MegaChil _gp0501,-,-,-,-,intron encoded hypothetical protein,protein-coding,-,-,-,intron encoded hypothetical protein,20200629,-
1094892,11257537,mg475,MegaChil _gp0475,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257538,mg521,MegaChil _gp0521,-,-,-,-,putative n-acetylglucosaminyl phosphatidylinositol deacetylase,protein-coding,-,-,-,putative n-acetylglucosaminyl phosphatidylinositol deacetylase,20200629,-
1094892,11257539,mg650,MegaChil _gp0650,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257540,mg1104,MegaChil _gp1104,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257541,mg735,MegaChil _gp0735,-,-,-,-,ribonuclease H-like protein,protein-coding,-,-,-,ribonuclease H-like protein,20200629,-
1094892,11257542,mg223,MegaChil _gp0223,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257543,mg478,MegaChil _gp0478,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257544,mg289,MegaChil _gp0289,-,-,-,-,collagen-like protein 2,protein-coding,-,-,-,collagen-like protein 2,20200629,-
1094892,11257545,mg827,MegaChil _gp0827,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257546,mg178,MegaChil _gp0178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257547,mg397,MegaChil _gp0397,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257548,mg540,MegaChil _gp0540,-,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20200629,-
1094892,11257549,mg629,MegaChil _gp0629,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257550,mg158,MegaChil _gp0158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257551,mg1045,MegaChil _gp1045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257552,mg1093,MegaChil _gp1093,-,-,-,-,putative F-box and FNIP repeat-containing protein,protein-coding,-,-,-,putative F-box and FNIP repeat-containing protein,20200629,-
1094892,11257553,mg682,MegaChil _gp0682,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257554,mg437,MegaChil _gp0437,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257555,mg338,MegaChil _gp0338,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257556,mg43,MegaChil _gp0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257557,mg79,MegaChil _gp0079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257558,mg138,MegaChil _gp0138,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257559,mg1063,MegaChil _gp1063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257560,mg446,MegaChil _gp0446,-,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20200629,-
1094892,11257561,mg937,MegaChil _gp0937,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257562,mg213,MegaChil _gp0213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257563,mg228,MegaChil _gp0228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257564,mg248,MegaChil _gp0248,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257565,mg135,MegaChil _gp0135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257566,mg280,MegaChil _gp0280,-,-,-,-,peptide chain release factor erf1,protein-coding,-,-,-,peptide chain release factor erf1,20200629,-
1094892,11257567,mg1025,MegaChil _gp1025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257568,mg246,MegaChil _gp0246,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257569,mg342,MegaChil _gp0342,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257570,mg482,MegaChil _gp0482,-,-,-,-,putative replication factor C large subunit,protein-coding,-,-,-,putative replication factor C large subunit,20200629,-
1094892,11257571,mg185,MegaChil _gp0185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257572,mg262,MegaChil _gp0262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257573,mg1078,MegaChil _gp1078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257574,mg939,MegaChil _gp0939,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257575,mg115,MegaChil _gp0115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257576,mg470,MegaChil _gp0470,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257577,mg351,MegaChil _gp0351,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257578,mg173,MegaChil _gp0173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257579,mg588,MegaChil _gp0588,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257580,mg453,MegaChil _gp0453,-,-,-,-,virion packaging ATPase,protein-coding,-,-,-,virion packaging ATPase,20200629,-
1094892,11257581,mg105,MegaChil _gp0105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257582,mg714,MegaChil _gp0714,-,-,-,-,putative FAD-linked sulfhydryl oxidase,protein-coding,-,-,-,putative FAD-linked sulfhydryl oxidase,20200629,-
1094892,11257583,mg965,MegaChil _gp0965,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257584,mg661,MegaChil _gp0661,-,-,-,-,putative ADP-ribosyl glycohydrolase,protein-coding,-,-,-,putative ADP-ribosyl glycohydrolase,20200629,-
1094892,11257585,mg1002,MegaChil _gp1002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257586,mg272,MegaChil _gp0272,-,-,-,-,endonuclease VIII-like protein,protein-coding,-,-,-,endonuclease VIII-like protein,20200629,-
1094892,11257587,mg888,MegaChil _gp0888,-,-,-,-,putative BTB/POZ domain-containing protein,protein-coding,-,-,-,putative BTB/POZ domain-containing protein,20200629,-
1094892,11257588,mg418,MegaChil _gp0418,-,-,-,-,vacuolar protein sorting-associated protein,protein-coding,-,-,-,vacuolar protein sorting-associated protein,20200629,-
1094892,11257589,mg696,MegaChil _gp0696,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257590,mg616,MegaChil _gp0616,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257591,mg1079,MegaChil _gp1079,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257592,mg913,MegaChil _gp0913,-,-,-,-,putative hydrolase,protein-coding,-,-,-,putative hydrolase,20200629,-
1094892,11257593,mg369,MegaChil _gp0369,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257594,mg892,MegaChil _gp0892,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257595,mg220,MegaChil _gp0220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257596,mg387,MegaChil _gp0387,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257597,mg585,MegaChil _gp0585,-,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,putative ubiquitin carboxyl-terminal hydrolase,20200629,-
1094892,11257598,mg671,MegaChil _gp0671,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257599,mg596,MegaChil _gp0596,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257600,mg357,MegaChil _gp0357,-,-,-,-,putative tRNA(His) guanylyltransferase,protein-coding,-,-,-,putative tRNA(His) guanylyltransferase,20200629,-
1094892,11257601,mg530,MegaChil _gp0530,-,-,-,-,putative ATP-dependent RNA helicase,protein-coding,-,-,-,putative ATP-dependent RNA helicase,20200629,-
1094892,11257602,mg469,MegaChil _gp0469,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257603,mg146,MegaChil _gp0146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257604,mg611,MegaChil _gp0611,-,-,-,-,putative endonuclease 4,protein-coding,-,-,-,putative endonuclease 4,20200629,-
1094892,11257605,mg981,MegaChil _gp0981,-,-,-,-,putative cholinesterase,protein-coding,-,-,-,putative cholinesterase,20200629,-
1094892,11257606,mg658,MegaChil _gp0658,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257607,mg459,MegaChil _gp0459,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257608,mg425,MegaChil _gp0425,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257609,mg606,MegaChil _gp0606,-,-,-,-,putative serine/threonine-protein kinase,protein-coding,-,-,-,putative serine/threonine-protein kinase,20200629,-
1094892,11257610,mg111,MegaChil _gp0111,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257611,mg492,MegaChil _gp0492,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257612,mg713,MegaChil _gp0713,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257613,mg786,MegaChil _gp0786,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257614,mg581,MegaChil _gp0581,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257615,mg961,MegaChil _gp0961,-,-,-,-,putative ankyrin repeat protein,protein-coding,-,-,-,putative ankyrin repeat protein,20200629,-
1094892,11257616,mg344,MegaChil _gp0344,-,-,-,-,putative transcription initiation factor iib-like protein,protein-coding,-,-,-,putative transcription initiation factor iib-like protein,20200629,-
1094892,11257617,mg54,MegaChil _gp0054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257618,mg1011,MegaChil _gp1011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257619,mg306,MegaChil _gp0306,-,-,-,-,putative DNA-dependent RNA polymerase subunit rpb9,protein-coding,-,-,-,putative DNA-dependent RNA polymerase subunit rpb9,20200629,-
1094892,11257620,mg993,MegaChil _gp0993,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20200629,-
1094892,11257621,mg326,MegaChil _gp0326,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1094892,11257622,mg634,MegaChil _gp0634,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
